Product ID,Short Description,Cost
DSSUDEL11R25000BX017,"R250 BASIC 4X3.5"",E-2314G , 16GB UDIMM, 3200MT/s /1x2TB Hard Drive SATA 6Gbps 7.2K 512n 3.5in Hot-Plug/1U/2U Static Rails for 2-Post and 4-Post Racks/Bezel/Broadcom 5720 Dual Port 1Gb On-Board LOM/No optical drive / iDRAC9 Basic 15G/ Power Supply, 700W MM HLAC (ONLY FOR 200-240Vac) Titanium/ 3Y Basic NBD",1380
DSSXDEL11R26000BX001,"R260 BASIC "",E-2414G , 16GB UDIMM, 5600MT/s /1x2TB Hard Drive SATA 6Gbps 7.2K 512n 3.5in Hot-Plug/1U/2U Static Rails for 2-Post and 4-Post Racks/Bezel/Broadcom 5720 Dual Port 1Gb On-Board LOM/No optical drive / iDRAC9 Basic 15G/ Power Supply, 700W MM HLAC (ONLY FOR 200-240Vac) Titanium/ 3Y Basic NBD",1450
 DELL PE R350 & R360  (3.5" Chassis with up to 4 Hard Drives) ,,
DSSUDEL11R35000BX010,"PowerEdge R350; 3.5"" Chassis with up to 4 Hot Plug Hard Drives; Intel Xeon E-2314 2.8GHz, 8M Cache, 4C/4T, Turbo (65W), 3200 MT/s;  16GB UDIMM, 3200MT/s, ECC; 4TB NLSAS 12Gbps 512 3.5in HDD  PERC H355 Adapter ; ReadyRails Sliding Rails With Cable Management Arm  ; PowerEdge R350 Motherboard with Broadcom 5720 Dual Port 1Gb On-Board LOM ; iDRAC9, Express 15G  ; Single Hot-Plug Power Supply (1+0), 600W , 3Yr ProSupport and NBD On-Site Service",1970
DSSUDEL11R36000BX003,"PowerEdge R360 Server, 3.5 X 4, Intel Xeon E-2414 2.6G, 4C,16GB UDIMM, 2TB Hard Drive SATA, PERC H355,Power Supply (1+0), 700W, iDRAC9,5720, Ent 16G,  3 Years Basic NBD",2390
DSSUDEL11R36000BX004,"PowerEdge R360 4X3.5"",Intel Xeon E-2434 3.4G, 4C/8T, 12M Cache, Turbo,16GB UDIMM,600GB SAS,H355,1X600W,IDRAC9 BASIC,5720,Riser Config 2, Butterfly Gen4 Riser (x8/x8),3YRS BASIC",2375
DSSUDEL11R36000BX002,"PowerEdge R360 Server, 3.5 X 4, Intel Xeon E-2434 ,16GB UDIMM, 4TB Hard Drive SAS 12G, PERC H355,Power Supply (1+0), 600W, iDRAC9,5720, Ent 16G,  3 Years Basic NBD",2450
DSSUDEL11R36000BX001,"PowerEdge R360 4X3.5"",E-2414,16GB UDIMM,2TB SATA Hard Drive,Perc controller H355,1X700W,IDRAC9,5720,ENT,3YRS BASIC NBD",2200
 DELL PE R350 & R360  (2.5" Chassis with up to 8 Hard Drives) ,,
DSSUDEL11R35000BX013,"PE R350/Chassis 8 x 2.5"" HotPlug/ Intel Xeon E-2324G 3.1GHz 8M Cache 4C/4T Turbo (65W), 3200 MT/s, 2.5"" Chassis with up to 8 Hot Plug Hard Drives/ 16GB UDIMM 3200MT/s ECC/  1 x 600GB 10K RPM SAS 12Gbps 512e 2.5in Hot-plug Hard Drive/ReadyRails Static Rails/Bezel/Broadcom 5720 Dual Port/PERC H355 LP without brackets/iDRAC9 Express 15G/Dual Hot-Plug Power Supply 700W Titanium, 3Yr PS Warranty - Next Business Day (Emerging Only) ",2150
